created_at,updated_at,extras,id,name,parent_id,jurisdiction_id,classification,sources,links,other_names
2025-01-30 02:06:46.722541+00:00,2025-03-29 03:02:06.062664+00:00,{},ocd-organization/2a7fb045-05fe-4eba-95d9-b0fc9b848903,Financial Services Committee Financial Institutions,ocd-organization/f445a449-ae0d-5208-862c-2158070ecdb7,ocd-jurisdiction/country:us/government,subcommittee,"[{'url': 'https://financialservices.house.gov/119th-congress-subcommittees/subcommittee-on-financial-institutions.htm', 'note': ''}]","[{'url': 'https://financialservices.house.gov/119th-congress-subcommittees/subcommittee-on-financial-institutions.htm', 'note': ''}]","[{'name': 'Financial Services Committee Financial Institutions and Monetary Policy', 'end_date': '', 'start_date': ''}, {'name': 'House Financial Services Committee Financial Institutions', 'end_date': '', 'start_date': ''}, {'name': 'House Financial Services Committee Financial Institutions and Monetary Policy', 'end_date': '', 'start_date': ''}, {'name': 'House Financial Services Committee Financial Institutions and Monetary Policy Subcommittee', 'end_date': '', 'start_date': ''}, {'name': 'House Financial Services Committee Financial Institutions Subcommittee', 'end_date': '', 'start_date': ''}, {'name': 'House Subcommittee on Financial Services Committee Financial Institutions', 'end_date': '', 'start_date': ''}, {'name': 'House Subcommittee on Financial Services Committee Financial Institutions and Monetary Policy', 'end_date': '', 'start_date': ''}]"
2025-01-28 05:46:41.337039+00:00,2025-03-29 03:02:06.947740+00:00,{},ocd-organization/d0244d7c-4011-4b5a-ab6b-15e2cfa0b9b3,"Foreign Relations Committee State Department and USAID Management, International Operations and Bilateral International Development",ocd-organization/9f3e78d9-3849-5435-8ea4-77c32657f12d,ocd-jurisdiction/country:us/government,subcommittee,"[{'url': 'https://www.foreign.senate.gov/about/subcommittees', 'note': ''}]","[{'url': 'https://www.foreign.senate.gov/about/subcommittees', 'note': ''}]","[{'name': 'Senate Foreign Relations Committee State Department and USAID Management, International Operations and Bilateral International Development', 'end_date': '', 'start_date': ''}, {'name': 'Senate Foreign Relations Committee State Department and USAID Management, International Operations and Bilateral International Development Subcommittee', 'end_date': '', 'start_date': ''}, {'name': 'Senate Subcommittee on Foreign Relations Committee State Department and USAID Management, International Operations and Bilateral International Development', 'end_date': '', 'start_date': ''}]"
2025-01-28 05:46:23.206825+00:00,2025-04-05 02:47:10.619225+00:00,{},ocd-organization/dc20569b-38f6-49e1-b18a-03e671362e06,"Appropriations Committee Agriculture, Rural Development, Food and Drug Administration and Related Agencies",ocd-organization/e97797e3-ac17-54b4-9e82-7dfd666af6d9,ocd-jurisdiction/country:us/government,subcommittee,"[{'url': 'https://appropriations.house.gov/subcommittees/agriculture-rural-development-food-and-drug-administration-and-related-agencies', 'note': ''}, {'url': 'https://appropriations.house.gov/subcommittees/agriculture-rural-development-food-and-drug-administration-and-related-agencies-118th', 'note': ''}]","[{'url': 'https://appropriations.house.gov/subcommittees/agriculture-rural-development-food-and-drug-administration-and-related-agencies', 'note': ''}, {'url': 'https://appropriations.house.gov/subcommittees/agriculture-rural-development-food-and-drug-administration-and-related-agencies-118th', 'note': ''}]","[{'name': 'House Appropriations Committee Agriculture, Rural Development, Food and Drug Administration and Related Agencies', 'end_date': '', 'start_date': ''}, {'name': 'House Appropriations Committee Agriculture, Rural Development, Food and Drug Administration and Related Agencies Subcommittee', 'end_date': '', 'start_date': ''}, {'name': 'House Subcommittee on Appropriations Committee Agriculture, Rural Development, Food and Drug Administration and Related Agencies', 'end_date': '', 'start_date': ''}]"
2025-03-29 03:01:53.569140+00:00,2025-04-24 03:01:13.560256+00:00,{},ocd-organization/170b9e85-330e-48c7-b8ff-5553df5a379f,Foreign Affairs Committee Arms Sales Task Force,ocd-organization/6f645bd7-0332-5edc-82c0-6da644369bfa,ocd-jurisdiction/country:us/government,subcommittee,[],[],"[{'name': 'House Foreign Affairs Committee Arms Sales Task Force', 'end_date': '', 'start_date': ''}, {'name': 'House Foreign Affairs Committee Arms Sales Task Force Subcommittee', 'end_date': '', 'start_date': ''}, {'name': 'House Subcommittee on Foreign Affairs Committee Arms Sales Task Force', 'end_date': '', 'start_date': ''}]"
2025-04-24 03:01:19.471415+00:00,2025-04-24 03:01:19.695268+00:00,{},ocd-organization/482c8de6-e10e-42bf-a8c2-742dae312724,Permanent Select Committee on Intelligence Cartel Task Force,ocd-organization/24af4233-d9b5-5933-91b2-51d29f721037,ocd-jurisdiction/country:us/government,committee,[],[],"[{'name': 'House Permanent Select Committee on Intelligence Cartel Task Force', 'end_date': '', 'start_date': ''}, {'name': 'House Committee on Permanent Select Committee on Intelligence Cartel Task Force', 'end_date': '', 'start_date': ''}, {'name': 'House Permanent Select Committee on Intelligence Cartel Task Force Committee', 'end_date': '', 'start_date': ''}]"
2025-01-28 05:46:46.120439+00:00,2025-04-24 03:01:24.902461+00:00,{},ocd-organization/191f961f-4e74-4c08-9fb9-e71cf06ed22a,"Small Business Committee Rural Development, Energy and Supply Chains",ocd-organization/d8493969-3cc2-560c-81f6-b2093487656d,ocd-jurisdiction/country:us/government,subcommittee,"[{'url': 'https://smallbusiness.house.gov/subcommittees/subcommittee/default.aspx?SubcommitteeID=71809', 'note': ''}]","[{'url': 'https://smallbusiness.house.gov/subcommittees/subcommittee/default.aspx?SubcommitteeID=71809', 'note': ''}]","[{'name': 'House Small Business Committee Rural Development, Energy and Supply Chains', 'end_date': '', 'start_date': ''}, {'name': 'House Small Business Committee Rural Development, Energy and Supply Chains Subcommittee', 'end_date': '', 'start_date': ''}, {'name': 'House Subcommittee on Small Business Committee Rural Development, Energy and Supply Chains', 'end_date': '', 'start_date': ''}]"
2025-01-30 02:06:51.223858+00:00,2025-04-24 03:01:25.164650+00:00,{},ocd-organization/bcd45160-48fa-492a-ac82-62dd4926ab5c,"Small Business Committee Economic Growth, Tax and Capital Access",ocd-organization/d8493969-3cc2-560c-81f6-b2093487656d,ocd-jurisdiction/country:us/government,subcommittee,"[{'url': 'https://smallbusiness.house.gov/subcommittees/subcommittee/default.aspx?SubcommitteeID=71807', 'note': ''}]","[{'url': 'https://smallbusiness.house.gov/subcommittees/subcommittee/default.aspx?SubcommitteeID=71807', 'note': ''}]","[{'name': 'House Small Business Committee Economic Growth, Tax and Capital Access', 'end_date': '', 'start_date': ''}, {'name': 'House Small Business Committee Economic Growth, Tax and Capital Access Subcommittee', 'end_date': '', 'start_date': ''}, {'name': 'House Subcommittee on Small Business Committee Economic Growth, Tax and Capital Access', 'end_date': '', 'start_date': ''}]"
2025-01-30 02:06:59.227887+00:00,2025-04-24 03:01:30.673803+00:00,{},ocd-organization/9e441215-8b98-46af-a9f8-e96b9e663d65,Oversight and Government Reform Committee Government Operations,ocd-organization/886fa939-fa3d-5cfb-94db-6d51311f5e48,ocd-jurisdiction/country:us/government,subcommittee,"[{'url': 'https://oversight.house.gov/subcommittee/government-operations', 'note': ''}]","[{'url': 'https://oversight.house.gov/subcommittee/government-operations', 'note': ''}]","[{'name': 'House Oversight and Government Reform Committee Government Operations', 'end_date': '', 'start_date': ''}, {'name': 'House Oversight and Government Reform Committee Government Operations and the Federal Workforce', 'end_date': '', 'start_date': ''}, {'name': 'House Oversight and Government Reform Committee Government Operations and the Federal Workforce Subcommittee', 'end_date': '', 'start_date': ''}, {'name': 'House Oversight and Government Reform Committee Government Operations Subcommittee', 'end_date': '', 'start_date': ''}, {'name': 'House Subcommittee on Oversight and Government Reform Committee Government Operations', 'end_date': '', 'start_date': ''}, {'name': 'House Subcommittee on Oversight and Government Reform Committee Government Operations and the Federal Workforce', 'end_date': '', 'start_date': ''}, {'name': 'Oversight and Government Reform Committee Government Operations and the Federal Workforce', 'end_date': '', 'start_date': ''}]"
2025-01-30 02:06:50.194806+00:00,2025-04-24 03:01:34.299453+00:00,{},ocd-organization/4ebeb35b-6117-4f8c-9a12-cb38e8769c81,Transportation and Infrastructure Committee Aviation,ocd-organization/b6f15ea7-32e1-50e2-9310-f3e8b6f1cc0b,ocd-jurisdiction/country:us/government,subcommittee,"[{'url': 'https://transportation.house.gov/subcommittees/subcommittee/?ID=107417', 'note': ''}]","[{'url': 'https://transportation.house.gov/subcommittees/subcommittee/?ID=107417', 'note': ''}]","[{'name': 'House Subcommittee on Transportation and Infrastructure Committee Aviation', 'end_date': '', 'start_date': ''}, {'name': 'House Transportation and Infrastructure Committee Aviation', 'end_date': '', 'start_date': ''}, {'name': 'House Transportation and Infrastructure Committee Aviation Subcommittee', 'end_date': '', 'start_date': ''}]"
2025-01-28 05:45:34.951102+00:00,2025-03-21 20:47:05.265846+00:00,{},ocd-organization/45b5e34a-b426-44f7-b4c0-bd4a11b59bfd,"Agriculture Committee Livestock, Dairy and Poultry",ocd-organization/64bc8175-ce7e-5b02-baf5-5a5d814e718c,ocd-jurisdiction/country:us/government,subcommittee,"[{'url': 'https://agriculture.house.gov/issues/issue/?IssueID=14908', 'note': ''}]","[{'url': 'https://agriculture.house.gov/issues/issue/?IssueID=14908', 'note': ''}]","[{'name': 'House Agriculture Committee Livestock, Dairy and Poultry', 'end_date': '', 'start_date': ''}, {'name': 'House Agriculture Committee Livestock, Dairy and Poultry Subcommittee', 'end_date': '', 'start_date': ''}, {'name': 'House Subcommittee on Agriculture Committee Livestock, Dairy and Poultry', 'end_date': '', 'start_date': ''}]"
2025-01-30 02:06:36.453909+00:00,2025-02-21 19:43:20.258902+00:00,{},ocd-organization/abe91282-3088-4ec8-a197-760acd50621e,Armed Services Committee Readiness and Management Support,ocd-organization/489cee51-5645-57a5-82e9-f845791d677d,ocd-jurisdiction/country:us/government,subcommittee,[],[],"[{'name': 'Senate Armed Services Committee Readiness and Management Support', 'end_date': '', 'start_date': ''}, {'name': 'Senate Armed Services Committee Readiness and Management Support Subcommittee', 'end_date': '', 'start_date': ''}, {'name': 'Senate Subcommittee on Armed Services Committee Readiness and Management Support', 'end_date': '', 'start_date': ''}]"
2025-01-28 05:45:37.189837+00:00,2025-01-30 02:06:36.889223+00:00,{},ocd-organization/725024c3-1f14-456d-8d5a-48458ae089d6,Armed Services Committee Cybersecurity,ocd-organization/489cee51-5645-57a5-82e9-f845791d677d,ocd-jurisdiction/country:us/government,subcommittee,[],[],"[{'name': 'Senate Armed Services Committee Cybersecurity', 'end_date': '', 'start_date': ''}, {'name': 'Senate Armed Services Committee Cybersecurity Subcommittee', 'end_date': '', 'start_date': ''}, {'name': 'Senate Subcommittee on Armed Services Committee Cybersecurity', 'end_date': '', 'start_date': ''}]"
2025-01-30 02:06:54.741831+00:00,2025-04-05 02:47:10.705385+00:00,{},ocd-organization/d1e57fe4-129e-4280-af12-7f1470e25385,"Appropriations Committee Commerce, Justice, Science and Related Agencies",ocd-organization/e97797e3-ac17-54b4-9e82-7dfd666af6d9,ocd-jurisdiction/country:us/government,subcommittee,"[{'url': 'https://appropriations.house.gov/subcommittees/commerce-justice-science-and-related-agencies-0', 'note': ''}, {'url': 'https://appropriations.house.gov/subcommittees/commerce-justice-science-and-related-agencies-118th-congress', 'note': ''}]","[{'url': 'https://appropriations.house.gov/subcommittees/commerce-justice-science-and-related-agencies-0', 'note': ''}, {'url': 'https://appropriations.house.gov/subcommittees/commerce-justice-science-and-related-agencies-118th-congress', 'note': ''}]","[{'name': 'House Appropriations Committee Commerce, Justice, Science and Related Agencies', 'end_date': '', 'start_date': ''}, {'name': 'House Appropriations Committee Commerce, Justice, Science and Related Agencies Subcommittee', 'end_date': '', 'start_date': ''}, {'name': 'House Subcommittee on Appropriations Committee Commerce, Justice, Science and Related Agencies', 'end_date': '', 'start_date': ''}]"
2025-01-30 02:06:40.490904+00:00,2025-02-21 19:43:16.354759+00:00,{},ocd-organization/49a701cc-e12a-4640-ab3c-231f5bde13a8,"Energy and Natural Resources Committee Public Lands, Forests and Mining",ocd-organization/8ee68103-d651-5d41-a5a1-3354e3314b91,ocd-jurisdiction/country:us/government,subcommittee,"[{'url': 'https://www.energy.senate.gov/sub-public-lands-forests-mining', 'note': ''}]","[{'url': 'https://www.energy.senate.gov/sub-public-lands-forests-mining', 'note': ''}]","[{'name': 'Senate Energy and Natural Resources Committee Public Lands, Forests and Mining', 'end_date': '', 'start_date': ''}, {'name': 'Senate Energy and Natural Resources Committee Public Lands, Forests and Mining Subcommittee', 'end_date': '', 'start_date': ''}, {'name': 'Senate Subcommittee on Energy and Natural Resources Committee Public Lands, Forests and Mining', 'end_date': '', 'start_date': ''}]"
2025-01-30 02:06:55.165432+00:00,2025-04-05 02:47:10.798887+00:00,{},ocd-organization/fadd6e03-de5f-4821-9b90-8eb8cd6865ac,Appropriations Committee Financial Services and General Government,ocd-organization/e97797e3-ac17-54b4-9e82-7dfd666af6d9,ocd-jurisdiction/country:us/government,subcommittee,"[{'url': 'https://appropriations.house.gov/subcommittees/financial-services-and-general-government-0', 'note': ''}, {'url': 'https://appropriations.house.gov/subcommittees/financial-services-and-general-government-118th-congress', 'note': ''}]","[{'url': 'https://appropriations.house.gov/subcommittees/financial-services-and-general-government-0', 'note': ''}, {'url': 'https://appropriations.house.gov/subcommittees/financial-services-and-general-government-118th-congress', 'note': ''}]","[{'name': 'House Appropriations Committee Financial Services and General Government', 'end_date': '', 'start_date': ''}, {'name': 'House Appropriations Committee Financial Services and General Government Subcommittee', 'end_date': '', 'start_date': ''}, {'name': 'House Subcommittee on Appropriations Committee Financial Services and General Government', 'end_date': '', 'start_date': ''}]"
2025-01-28 05:46:23.897126+00:00,2025-04-05 02:47:10.886481+00:00,{},ocd-organization/55dbb201-1bf3-411c-a54a-4c8d64d06bbd,"Appropriations Committee Labor, Health and Human Services, Education and Related Agencies",ocd-organization/e97797e3-ac17-54b4-9e82-7dfd666af6d9,ocd-jurisdiction/country:us/government,subcommittee,"[{'url': 'https://appropriations.house.gov/subcommittees/labor-health-and-human-services-education-and-related-agencies', 'note': ''}, {'url': 'https://appropriations.house.gov/subcommittees/labor-health-and-human-services-education-and-related-agencies-118th-congress', 'note': ''}]","[{'url': 'https://appropriations.house.gov/subcommittees/labor-health-and-human-services-education-and-related-agencies', 'note': ''}, {'url': 'https://appropriations.house.gov/subcommittees/labor-health-and-human-services-education-and-related-agencies-118th-congress', 'note': ''}]","[{'name': 'House Appropriations Committee Labor, Health and Human Services, Education and Related Agencies', 'end_date': '', 'start_date': ''}, {'name': 'House Appropriations Committee Labor, Health and Human Services, Education and Related Agencies Subcommittee', 'end_date': '', 'start_date': ''}, {'name': 'House Subcommittee on Appropriations Committee Labor, Health and Human Services, Education and Related Agencies', 'end_date': '', 'start_date': ''}]"
2025-01-30 02:06:55.483583+00:00,2025-04-05 02:47:10.976502+00:00,{},ocd-organization/499ecc9d-706a-46de-bee0-66a8a0c7c08b,Appropriations Committee Energy and Water Development and Related Agencies,ocd-organization/e97797e3-ac17-54b4-9e82-7dfd666af6d9,ocd-jurisdiction/country:us/government,subcommittee,"[{'url': 'https://appropriations.house.gov/subcommittees/energy-and-water-development-and-related-agencies-0', 'note': ''}, {'url': 'https://appropriations.house.gov/subcommittees/energy-and-water-development-and-related-agencies-118th-congress', 'note': ''}]","[{'url': 'https://appropriations.house.gov/subcommittees/energy-and-water-development-and-related-agencies-0', 'note': ''}, {'url': 'https://appropriations.house.gov/subcommittees/energy-and-water-development-and-related-agencies-118th-congress', 'note': ''}]","[{'name': 'House Appropriations Committee Energy and Water Development and Related Agencies', 'end_date': '', 'start_date': ''}, {'name': 'House Appropriations Committee Energy and Water Development and Related Agencies Subcommittee', 'end_date': '', 'start_date': ''}, {'name': 'House Subcommittee on Appropriations Committee Energy and Water Development and Related Agencies', 'end_date': '', 'start_date': ''}]"
2025-01-30 02:06:55.578556+00:00,2025-04-05 02:47:11.061804+00:00,{},ocd-organization/a395b26c-6bde-4047-a9db-bff242a412b8,"Appropriations Committee Interior, Environment and Related Agencies",ocd-organization/e97797e3-ac17-54b4-9e82-7dfd666af6d9,ocd-jurisdiction/country:us/government,subcommittee,"[{'url': 'https://appropriations.house.gov/subcommittees/interior-environment-and-related-agencies-0', 'note': ''}, {'url': 'https://appropriations.house.gov/subcommittees/interior-environment-and-related-agencies-118th-congress', 'note': ''}]","[{'url': 'https://appropriations.house.gov/subcommittees/interior-environment-and-related-agencies-0', 'note': ''}, {'url': 'https://appropriations.house.gov/subcommittees/interior-environment-and-related-agencies-118th-congress', 'note': ''}]","[{'name': 'House Appropriations Committee Interior, Environment and Related Agencies', 'end_date': '', 'start_date': ''}, {'name': 'House Appropriations Committee Interior, Environment and Related Agencies Subcommittee', 'end_date': '', 'start_date': ''}, {'name': 'House Subcommittee on Appropriations Committee Interior, Environment and Related Agencies', 'end_date': '', 'start_date': ''}]"
2025-01-28 05:46:22.353574+00:00,2025-04-05 02:47:11.239383+00:00,{},ocd-organization/ebfab085-a0b1-408e-bfc8-96108d99e54e,Appropriations Committee Homeland Security,ocd-organization/e97797e3-ac17-54b4-9e82-7dfd666af6d9,ocd-jurisdiction/country:us/government,subcommittee,"[{'url': 'https://appropriations.house.gov/subcommittees/homeland-security-0', 'note': ''}, {'url': 'https://appropriations.house.gov/subcommittees/homeland-security-118th-congress', 'note': ''}]","[{'url': 'https://appropriations.house.gov/subcommittees/homeland-security-0', 'note': ''}, {'url': 'https://appropriations.house.gov/subcommittees/homeland-security-118th-congress', 'note': ''}]","[{'name': 'House Appropriations Committee Homeland Security', 'end_date': '', 'start_date': ''}, {'name': 'House Appropriations Committee Homeland Security Subcommittee', 'end_date': '', 'start_date': ''}, {'name': 'House Subcommittee on Appropriations Committee Homeland Security', 'end_date': '', 'start_date': ''}]"
